strategy_name,params,side,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,return_pct,exit_reason
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-01-19 00:00:00+00:00,2026-01-21 06:00:00+00:00,93620.0,89919.0,728.0880282084091,27.83637161758374,0.9465144366709318,0.0,3.823215124973297,atr_trailing_exit
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-02-17 15:00:00+00:00,2026-02-17 19:00:00+00:00,66839.0,68079.0,307.7203130870073,-6.108876877814423,0.4000364070131095,0.0,-1.9852042968925325,invalidation_close
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-02-18 19:00:00+00:00,2026-02-19 19:00:00+00:00,66317.0,67016.0,300.9184693653396,-3.562960074477796,0.3911940101749415,0.0,-1.184028378847053,atr_trailing_exit
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-02-23 01:00:00+00:00,2026-02-23 07:00:00+00:00,66700.0,65726.0,555.5556333055775,7.390389173548813,0.7222223232972508,0.0,1.3302698650674663,atr_trailing_exit
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-02-27 17:00:00+00:00,2026-02-28 14:00:00+00:00,65440.0,65073.0,291.90879379237015,1.2575987533052464,0.37948143193008116,0.0,0.43081907090464544,atr_trailing_exit
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-03-06 13:00:00+00:00,2026-03-08 09:00:00+00:00,69900.0,67501.0,310.90927788553824,10.266366689069347,0.4041820612511997,0.0,3.3020457796852645,atr_trailing_exit
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-03-08 23:00:00+00:00,2026-03-09 04:00:00+00:00,66199.0,67170.0,329.761958072167,-5.26560441561382,0.4286905454938171,0.0,-1.5967895285427272,atr_trailing_exit
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-03-18 12:00:00+00:00,2026-03-19 21:00:00+00:00,72915.0,70481.0,356.2797774035364,11.4299306897074,0.4631637106245973,0.0,3.208133443050127,atr_trailing_exit
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-03-22 00:00:00+00:00,2026-03-23 06:00:00+00:00,68875.0,68871.0,472.5338974711162,-0.5868510817413517,0.614294066712451,0.0,-0.12419237749546279,atr_trailing_exit
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-03-29 23:00:00+00:00,2026-03-30 03:00:00+00:00,65819.0,67090.0,433.05349568543323,-8.92546355092695,0.5629695443910632,0.0,-2.061053343259545,invalidation_close
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-05-18 00:00:00+00:00,2026-05-18 13:00:00+00:00,77430.0,77598.0,596.6783292545405,-2.0702957930930594,0.7756818280309026,0.0,-0.34697016660209223,atr_trailing_exit
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-05-26 18:00:00+00:00,2026-05-29 17:00:00+00:00,75901.0,74022.0,393.9366133316446,9.240150441958994,0.5121175973311379,0.0,2.3455932069406202,atr_trailing_exit
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-06-01 07:00:00+00:00,2026-06-03 06:00:00+00:00,73132.0,67295.0,575.5064527965727,45.18564849444703,0.7481583886355445,0.0,7.851458185199365,atr_trailing_exit
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",short,2026-06-09 16:00:00+00:00,2026-06-10 14:00:00+00:00,61110.0,62115.0,311.9925046112783,-5.5365420991354695,0.4055902559946618,0.0,-1.7745753559155624,atr_trailing_exit
