experiment,fold,strategy,params,risk_fraction,direction_mode,session_preset,cooldown_bars_after_stop,minimum_stop_distance_to_cost,cost_multiplier,total_return_pct,max_drawdown_pct,trade_count
breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime=none,2,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.5,-17.45658038359934,26.100739732775857,54
breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime=none,3,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.0,-4.088398002094884,16.530573439110942,54
breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime=none,3,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.5,-2.0350543592724257,15.901891150432501,47
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",1,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.0,-4.505335444185454,4.505335444185454,4
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",1,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.5,-2.37360228680481,2.37360228680481,2
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",2,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.0,3.837659335580179,10.732040041970325,5
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",2,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.5,5.873575424366084,8.903794128969999,4
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",3,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.0,-4.064203132690003,9.573270456704208,3
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",3,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.5,-3.2457679282086316,3.362557497615415,2
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",1,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.0,0.0,0.0,0
