timestamp,open,high,low,close,volume
2025-11-11 20:00:00+00:00,103096.0,103201.0,102638.0,102765.0,1454.5908
2025-11-11 21:00:00+00:00,102766.0,103088.0,102455.0,102611.0,1457.48905
2025-11-11 22:00:00+00:00,102610.0,103121.0,102454.0,102975.0,980.00734
2025-11-11 23:00:00+00:00,102975.0,103181.0,102773.0,103034.0,1945.63599
2025-11-12 00:00:00+00:00,103033.0,103309.0,102791.0,102865.0,861.19909
2025-11-12 01:00:00+00:00,102865.0,103356.0,102642.0,103229.0,1226.40703
2025-11-12 02:00:00+00:00,103229.0,103389.0,102912.0,103125.0,740.18957
2025-11-12 03:00:00+00:00,103124.0,103439.0,103069.0,103295.0,495.0471
2025-11-12 04:00:00+00:00,103295.0,103453.0,102987.0,103225.0,522.43346
2025-11-12 05:00:00+00:00,103224.0,103463.0,103208.0,103393.0,488.79965
2025-11-12 06:00:00+00:00,103393.0,103648.0,103334.0,103345.0,516.17824
2025-11-12 07:00:00+00:00,103346.0,103538.0,103043.0,103110.0,388.20909
2025-11-12 08:00:00+00:00,103110.0,104204.0,103110.0,104128.0,729.91074
2025-11-12 09:00:00+00:00,104129.0,105062.0,104125.0,104506.0,1236.35211
2025-11-12 10:00:00+00:00,104505.0,105038.0,104493.0,104887.0,539.67041
2025-11-12 11:00:00+00:00,104887.0,105198.0,104722.0,104994.0,900.35129
2025-11-12 12:00:00+00:00,104993.0,105299.0,104785.0,104960.0,575.68246
2025-11-12 13:00:00+00:00,104961.0,105142.0,104633.0,105019.0,896.4905
2025-11-12 14:00:00+00:00,105018.0,105018.0,103567.0,103952.0,2931.67577
2025-11-12 15:00:00+00:00,103951.0,104292.0,101889.0,102169.0,4256.09608
2025-11-12 16:00:00+00:00,102168.0,102281.0,101285.0,101400.0,4793.88272
2025-11-12 17:00:00+00:00,101399.0,102131.0,101360.0,101727.0,1627.62617
2025-11-12 18:00:00+00:00,101727.0,101931.0,101374.0,101506.0,1031.82002
2025-11-12 19:00:00+00:00,101507.0,101532.0,100729.0,101249.0,2787.57731
2025-11-12 20:00:00+00:00,101250.0,101825.0,101077.0,101500.0,1388.5124
2025-11-12 21:00:00+00:00,101506.0,101907.0,101476.0,101895.0,882.09499
2025-11-12 22:00:00+00:00,101895.0,102000.0,101403.0,101980.0,1145.82082
2025-11-12 23:00:00+00:00,101980.0,101981.0,101427.0,101623.0,1158.02161
2025-11-13 00:00:00+00:00,101624.0,102040.0,101425.0,101850.0,1311.46851
2025-11-13 01:00:00+00:00,101849.0,102600.0,101815.0,101997.0,2252.09852
2025-11-13 02:00:00+00:00,101997.0,102330.0,101962.0,102071.0,911.16509
2025-11-13 03:00:00+00:00,102071.0,102516.0,100851.0,102091.0,2700.04411
2025-11-13 04:00:00+00:00,102092.0,102383.0,101628.0,102089.0,1203.72527
2025-11-13 05:00:00+00:00,102087.0,103387.0,101747.0,103122.0,2351.17309
2025-11-13 06:00:00+00:00,103122.0,103655.0,102910.0,103573.0,1437.19225
2025-11-13 07:00:00+00:00,103572.0,104000.0,103306.0,103451.0,1859.96208
2025-11-13 08:00:00+00:00,103451.0,103772.0,103235.0,103656.0,1512.29404
2025-11-13 09:00:00+00:00,103656.0,103732.0,102527.0,102814.0,1831.88805
2025-11-13 10:00:00+00:00,102815.0,103278.0,102754.0,102972.0,444.92835
2025-11-13 11:00:00+00:00,102971.0,103161.0,102662.0,102908.0,871.47043
2025-11-13 12:00:00+00:00,102909.0,103250.0,102700.0,103113.0,568.07864
2025-11-13 13:00:00+00:00,103114.0,103137.0,102102.0,102276.0,1849.11027
2025-11-13 14:00:00+00:00,102277.0,103471.0,101711.0,102828.0,4806.19015
2025-11-13 15:00:00+00:00,102829.0,103017.0,101138.0,101351.0,4589.315
2025-11-13 16:00:00+00:00,101350.0,101506.0,100468.0,100587.0,4128.30121
2025-11-13 17:00:00+00:00,100592.0,100777.0,99543.0,99584.0,4423.37975
2025-11-13 18:00:00+00:00,99585.0,99875.0,98111.0,98587.0,8093.27458
2025-11-13 19:00:00+00:00,98587.0,99317.0,98349.0,98686.0,6228.6308
2025-11-13 20:00:00+00:00,98685.0,99085.0,98000.0,98177.0,5241.13104
2025-11-13 21:00:00+00:00,98178.0,98937.0,98064.0,98850.0,2208.63158
2025-11-13 22:00:00+00:00,98849.0,99993.0,98739.0,99917.0,3936.06327
2025-11-13 23:00:00+00:00,99916.0,100587.0,99618.0,99735.0,3015.6028
2025-11-14 00:00:00+00:00,99735.0,99841.0,98720.0,98984.0,4838.26241
2025-11-14 01:00:00+00:00,98985.0,99573.0,98706.0,99277.0,1285.03255
2025-11-14 02:00:00+00:00,99277.0,99887.0,99276.0,99652.0,861.82608
2025-11-14 03:00:00+00:00,99651.0,99675.0,98780.0,99130.0,2168.31707
