timestamp,funding_rate,mark_price
2023-06-13 00:00:00+00:00,0.0001,
2023-06-13 08:00:00+00:00,6.18e-05,
2023-06-13 16:00:00+00:00,6.503e-05,
2023-06-14 00:00:00+00:00,2.438e-05,
2023-06-14 08:00:00+00:00,2.716e-05,
2023-06-14 16:00:00+00:00,3.661e-05,
2023-06-15 00:00:00+00:00,-3.265e-05,
2023-06-15 08:00:00+00:00,6.193e-05,
2023-06-15 16:00:00+00:00,6.687e-05,
2023-06-16 00:00:00+00:00,3.971e-05,
2023-06-16 08:00:00+00:00,7.81e-06,
2023-06-16 16:00:00+00:00,2.36e-06,
2023-06-17 00:00:00+00:00,9.868e-05,
2023-06-17 08:00:00+00:00,0.0001,
2023-06-17 16:00:00+00:00,7.543e-05,
2023-06-18 00:00:00+00:00,3.706e-05,
2023-06-18 08:00:00+00:00,8.233e-05,
2023-06-18 16:00:00+00:00,6.705e-05,
2023-06-19 00:00:00+00:00,7.04e-05,
2023-06-19 08:00:00+00:00,6.397e-05,
2023-06-19 16:00:00+00:00,3.69e-05,
2023-06-20 00:00:00+00:00,4.35e-05,
2023-06-20 08:00:00+00:00,-4.48e-06,
2023-06-20 16:00:00+00:00,-2.597e-05,
2023-06-21 00:00:00+00:00,6.295e-05,
2023-06-21 08:00:00+00:00,0.0001,
2023-06-21 16:00:00+00:00,2.551e-05,
2023-06-22 00:00:00+00:00,0.0001,
2023-06-22 08:00:00+00:00,0.0001,
2023-06-22 16:00:00+00:00,9.236e-05,
2023-06-23 00:00:00+00:00,0.0001,
2023-06-23 08:00:00+00:00,0.0001,
2023-06-23 16:00:00+00:00,0.0001,
2023-06-24 00:00:00+00:00,0.0001,
2023-06-24 08:00:00+00:00,0.0001,
2023-06-24 16:00:00+00:00,0.0001,
2023-06-25 00:00:00+00:00,0.0001,
2023-06-25 08:00:00+00:00,0.0001,
2023-06-25 16:00:00+00:00,0.0001,
2023-06-26 00:00:00+00:00,0.0001,
2023-06-26 08:00:00+00:00,0.0001,
2023-06-26 16:00:00+00:00,0.0001,
2023-06-27 00:00:00+00:00,0.0001,
2023-06-27 08:00:00+00:00,0.0001,
2023-06-27 16:00:00+00:00,0.0001,
2023-06-28 00:00:00+00:00,0.0001,
2023-06-28 08:00:00+00:00,9.302e-05,
2023-06-28 16:00:00+00:00,4.598e-05,
2023-06-29 00:00:00+00:00,6.574e-05,
2023-06-29 08:00:00+00:00,9.3e-05,
2023-06-29 16:00:00+00:00,0.0001,
2023-06-30 00:00:00+00:00,0.0001,
2023-06-30 08:00:00+00:00,0.0001,
2023-06-30 16:00:00+00:00,0.0001,
2023-07-01 00:00:00+00:00,0.0001,
2023-07-01 08:00:00+00:00,0.0001,
2023-07-01 16:00:00+00:00,0.0001,
2023-07-02 00:00:00+00:00,0.0001,
2023-07-02 08:00:00+00:00,0.0001,
2023-07-02 16:00:00+00:00,0.0001,
2023-07-03 00:00:00+00:00,0.0001,
2023-07-03 08:00:00+00:00,0.0001,
2023-07-03 16:00:00+00:00,0.0001,
2023-07-04 00:00:00+00:00,0.0001,
2023-07-04 08:00:00+00:00,0.0001,
2023-07-04 16:00:00+00:00,0.0001,
2023-07-05 00:00:00+00:00,0.0001,
2023-07-05 08:00:00+00:00,0.0001,
2023-07-05 16:00:00+00:00,0.0001,
2023-07-06 00:00:00+00:00,0.0001,
2023-07-06 08:00:00+00:00,7.72e-05,
2023-07-06 16:00:00+00:00,1.492e-05,
2023-07-07 00:00:00+00:00,6.98e-06,
2023-07-07 08:00:00+00:00,4.221e-05,
2023-07-07 16:00:00+00:00,-6.58e-06,
2023-07-08 00:00:00+00:00,3.757e-05,
2023-07-08 08:00:00+00:00,2.631e-05,
2023-07-08 16:00:00+00:00,1.686e-05,
2023-07-09 00:00:00+00:00,5.707e-05,
2023-07-09 08:00:00+00:00,6.821e-05,
2023-07-09 16:00:00+00:00,6.153e-05,
2023-07-10 00:00:00+00:00,-2.182e-05,
2023-07-10 08:00:00+00:00,4.85e-05,
2023-07-10 16:00:00+00:00,2.995e-05,
2023-07-11 00:00:00+00:00,8.01e-05,
2023-07-11 08:00:00+00:00,8.265e-05,
2023-07-11 16:00:00+00:00,3.954e-05,
2023-07-12 00:00:00+00:00,7.041e-05,
2023-07-12 08:00:00+00:00,6.479e-05,
2023-07-12 16:00:00+00:00,4.65e-05,
2023-07-13 00:00:00+00:00,-1.135e-05,
2023-07-13 08:00:00+00:00,6.12e-05,
2023-07-13 16:00:00+00:00,5.29e-06,
2023-07-14 00:00:00+00:00,0.0001,
2023-07-14 08:00:00+00:00,0.0001,
2023-07-14 16:00:00+00:00,0.0001,
2023-07-15 00:00:00+00:00,-7.313e-05,
2023-07-15 08:00:00+00:00,3.007e-05,
2023-07-15 16:00:00+00:00,2.984e-05,
2023-07-16 00:00:00+00:00,1.993e-05,
2023-07-16 08:00:00+00:00,7.772e-05,
2023-07-16 16:00:00+00:00,4.583e-05,
2023-07-17 00:00:00+00:00,2.785e-05,
2023-07-17 08:00:00+00:00,6.278e-05,
2023-07-17 16:00:00+00:00,6.261e-05,
2023-07-18 00:00:00+00:00,3.983e-05,
2023-07-18 08:00:00+00:00,6.798e-05,
2023-07-18 16:00:00+00:00,7.477e-05,
2023-07-19 00:00:00+00:00,0.0001,
2023-07-19 08:00:00+00:00,5.224e-05,
2023-07-19 16:00:00+00:00,7.69e-05,
2023-07-20 00:00:00+00:00,2.652e-05,
2023-07-20 08:00:00+00:00,9.641e-05,
2023-07-20 16:00:00+00:00,5.563e-05,
2023-07-21 00:00:00+00:00,2.877e-05,
2023-07-21 08:00:00+00:00,7.77e-06,
