strategy_name,params,side,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,return_pct,exit_reason
regime_switching,"{'high_volatility_percentile': 0.8, 'trend_adx': 25, 'range_adx': 20, 'slope_threshold': 0.25, 'donchian_lookback': 50, 'bollinger_length': 40, 'bollinger_entry_z': 1.5}",short,2026-04-15 20:00:00+00:00,2026-04-15 23:00:00+00:00,74931.0,74912.0,3000.0,-3.2273345561436524,3.9,-0.0880344,-0.10757781853812175,regime_change
regime_switching,"{'high_volatility_percentile': 0.8, 'trend_adx': 25, 'range_adx': 20, 'slope_threshold': 0.25, 'donchian_lookback': 50, 'bollinger_length': 40, 'bollinger_entry_z': 1.5}",long,2026-04-16 19:00:00+00:00,2026-04-16 22:00:00+00:00,75011.0,74900.0,1495.1589981657844,-4.192531636030229,1.9437066976155197,-0.03631412271565094,-0.2804070765165109,invalidation_close
regime_switching,"{'high_volatility_percentile': 0.8, 'trend_adx': 25, 'range_adx': 20, 'slope_threshold': 0.25, 'donchian_lookback': 50, 'bollinger_length': 40, 'bollinger_entry_z': 1.5}",short,2026-04-17 09:00:00+00:00,2026-04-17 11:00:00+00:00,75721.0,75227.0,2977.740401423478,15.549498820287623,3.8710625218505212,-0.006067443841940479,0.5221912162945549,regime_change
regime_switching,"{'high_volatility_percentile': 0.8, 'trend_adx': 25, 'range_adx': 20, 'slope_threshold': 0.25, 'donchian_lookback': 50, 'bollinger_length': 40, 'bollinger_entry_z': 1.5}",short,2026-04-17 12:00:00+00:00,2026-04-17 13:00:00+00:00,75542.0,76201.0,3024.3888978843406,-30.354147746667117,3.931705567249643,-0.03881077297099059,-1.0036456544295886,high_volatility:close_above_channel_high
regime_switching,"{'high_volatility_percentile': 0.8, 'trend_adx': 25, 'range_adx': 20, 'slope_threshold': 0.25, 'donchian_lookback': 50, 'bollinger_length': 40, 'bollinger_entry_z': 1.5}",long,2026-04-17 13:00:00+00:00,2026-04-18 00:00:00+00:00,76201.0,77021.0,1466.6632273221696,14.093513428514013,1.9066621955188203,0.21739263687808305,0.9609236234991667,regime_resize
regime_switching,"{'high_volatility_percentile': 0.8, 'trend_adx': 25, 'range_adx': 20, 'slope_threshold': 0.25, 'donchian_lookback': 50, 'bollinger_length': 40, 'bollinger_entry_z': 1.5}",long,2026-04-18 00:00:00+00:00,2026-04-18 13:00:00+00:00,77021.0,76173.0,2956.4528683758317,-36.04872988257777,3.843388728888581,0.3451584812507073,-1.2193236789998831,regime_change
regime_switching,"{'high_volatility_percentile': 0.8, 'trend_adx': 25, 'range_adx': 20, 'slope_threshold': 0.25, 'donchian_lookback': 50, 'bollinger_length': 40, 'bollinger_entry_z': 1.5}",short,2026-04-19 10:00:00+00:00,2026-04-19 11:00:00+00:00,74973.0,75183.0,2867.4608052821486,-11.777584170115508,3.727699046866793,-0.01810342704806832,-0.4107321763010683,invalidation_close
regime_switching,"{'high_volatility_percentile': 0.8, 'trend_adx': 25, 'range_adx': 20, 'slope_threshold': 0.25, 'donchian_lookback': 50, 'bollinger_length': 40, 'bollinger_entry_z': 1.5}",short,2026-04-19 18:00:00+00:00,2026-04-20 09:00:00+00:00,74737.0,74693.0,2832.128052771802,-2.118117840470032,3.681766468603342,-0.10371337893091923,-0.07478891494320081,regime_change
regime_switching,"{'high_volatility_percentile': 0.8, 'trend_adx': 25, 'range_adx': 20, 'slope_threshold': 0.25, 'donchian_lookback': 50, 'bollinger_length': 40, 'bollinger_entry_z': 1.5}",long,2026-04-20 19:00:00+00:00,2026-04-20 20:00:00+00:00,76375.0,76259.0,1412.8868496251957,-3.9836840703964618,1.8367529045127544,-0.0010080947672075772,-0.28195351039279865,regime_change
regime_switching,"{'high_volatility_percentile': 0.8, 'trend_adx': 25, 'range_adx': 20, 'slope_threshold': 0.25, 'donchian_lookback': 50, 'bollinger_length': 40, 'bollinger_entry_z': 1.5}",long,2026-04-21 11:00:00+00:00,2026-04-21 12:00:00+00:00,76704.0,76411.0,2813.822647039202,-14.427037428361013,3.6579694411509625,-0.020605904626532782,-0.5127202115435961,invalidation_close
